Query	Document	Answer	Context_Relevance_Label	Reasoning
Comment fonctionne la prise en passant ?	"## 4. LA TENUE DE LA COMPTABILITÉ  
La comptabilité générale est tenue selon les prescriptions légales et réglementaires en vigueur, et suivant les recommandations de l'Autorité des Normes Comptables.  
En complément de la comptabilité générale, il est mis en place une comptabilité budgétaire analytique pour suivre les dépenses et recettes par objets ou par actions, conformément aux conventions d'objectifs passées avec le ministère chargé des sports, et pour les manifestations récurrentes telles que les différents championnats et coupes et de manière générale, de tout poste dont le suivi est utile à l'évaluation et la compréhension du fonctionnement fédéral.  
Le cadre de cette comptabilité budgétaire analytique est de la seule responsabilité de la Fédération, dont le secrétariat donnera au cabinet d'expertise comptable l'imputation budgétaire sur chaque pièce à comptabiliser.  
La séance de travail relative à l'arrêté final des comptes et à la détermination du résultat se tient au siège fédéral où pour l'occasion sont mises à disposition toutes les pièces comptables sans exception. A cette réunion, assistent outre le Président et le Trésorier fédéral, le Directeur Général et le Président ou le représentant délégué de la Commission de Contrôle Economique et de Gestion."		0	Le document traite d'un sujet complètement différent de la question. Aucun des mots-clés pertinents n'apparaît dans le contexte.
Quelles sont les cadences du Ch. France Clubs rapide ?	"## 3.3 Cadence  
- Système suisse et matchs à élimination directe : 15 minutes avec ajout de 3 secondes par coup durant toute la partie.
- Armageddon : 5 minutes pour les Blancs et 4 minutes pour les Noirs avec ajout de 3 secondes par coup à partir du 61ème coup."	"## 1.2 Déroulement de la compétition  
Le championnat se joue par équipes de clubs. Un club ne peut engager plus de 2 équipes. S'il reste de s places à pourvoir à la fin de la procédure d'inscription, une nouvelle étape d'inscription sera ouverte sans limitation d'équipes par club.  
La compétition est organisée en deux phases :  
- Première phase : en système suisse en 15 rondes,
- Phase finale : Après la dernière ronde en système suisse, les 4 premières équipes des trois catégories (A, B, C), disputent une phase à élimination directe en demi-finales et finale pour déterminer les 4 premières places de leur catégorie. Un seul match est disputé dans chacune des rencontres, la première équipe rencontrant la quatrième tandis que la deuxième est appariée à la troisième. Les équipes gagnantes jouent la finale pour le titre tandis que les perdants disputent un match de classement pour la troisième place.
- En cas de match nul lors de la phase finale, un des échiquiers du match est tiré au sort afin de disputer une partie unique en Armageddon. Les deux joueurs ayant joué sur l'échiquier concerné procèdent à un tirage au sort. Le vainqueur du tirage choisit sa couleur."	1	Le contexte contient l'article de règlement pertinent qui répond à la question posée. L'information est factuelle et vérifiable.
Comment abandonner une partie aux échecs ?	"## 5.7.a) Tenue vestimentaire lors de la finale  
Les joueurs et joueuses des équipes, lors de la finale, ont l'obligation de porter un maillot (ou un haut de vêtement) représentatif de leur club au minimum à la première et la dernière ronde. Pour tout manquement à cet article, le club sera sanctionné d'une amende de 100€ par match."		0	Le contexte traite d'une catégorie de joueurs ou compétition différente de celle mentionnée dans la question.
Quel Elo minimum pour qualification d'office jeunes ?	"## 2.6. Qualifications d'office  
Sont qualifiés pour les Championnats de France U16, U14, U12, U10 et U8, en catégorie mixte ou féminine :  
- Les jeunes changeant de catégorie ayant obtenu un score minimal de 6,5/9 dans le championnat précédent.
- Les jeunes ne changeant pas de catégorie et ayant obtenu un score minimal de 6/9 dans le championnat précédent.
- Les jeunes atteignant un Elo en cadence standard minimum en juillet ou août de la saison précédente ou en septembre de la nouvelle saison :
- 2100 pour les U16, 1900 pour les U16F ;
- 2000 pour les U14, 1850 pour les U14F ;
- 1900 pour les U12, 1700 pour les U12F ;
- 1750 pour les U10, 1600 pour les U10F ;
- Un joueur ou une joueuse par tournoi mixte et une joueuse par tournoi féminin choisis par l'organisateur.
- La ou le premier classé de chaque catégorie des Open A et B de la saison précédente.  
La qualité de qualifié ou qualifiée d'office doit impérativement être confirmée par une prise de licence A avant le 1 er décembre de la saison en cours ; à défaut, la qualification d'office est annulée.  
Si les qualifiés et qualifiées d'office participent aux phases qualificatives départementales et/ou des zones interdépartementales, ils sont retirés lors de l'établissement de la liste des places qualificatives."	"## 2.6. Qualifications d'office  
Sont qualifiés pour les Championnats de France U16, U14, U12, U10 et U8, en catégorie mixte ou féminine :  
- Les jeunes changeant de catégorie ayant obtenu un score minimal de 6,5/9 dans le championnat précédent.
- Les jeunes ne changeant pas de catégorie et ayant obtenu un score minimal de 6/9 dans le championnat précédent.
- Les jeunes atteignant un Elo en cadence standard minimum en juillet ou août de la saison précédente ou en septembre de la nouvelle saiso"	1	Le document explique directement la règle demandée dans la question. Les mots-clés de la question apparaissent dans le contexte et la réponse peut être extraite sans ambiguïté.
Peut-on demander un interprète en audience disciplinaire ?	"Si elle ne parle pas ou ne comprend pas suffisamment la langue française, elle peut demander à être assistée d'un interprète de son choix à ses frais ou d'un interprète choisi par la Fédération Française des Echecs ou ses organes déconcentrés aux frais de ceux-ci.  
Le délai de dix jours mentionné au premier alinéa peut être réduit en cas d'urgence, de circonstances tenant au bon déroulement des compétitions sportives ou de circonstances exceptionnelles par décision du président de l'organe disciplinaire, à son initiative ou à la demande de la personne chargée de l'instruction ou de la personne poursuivie. En ce cas, la faculté de demander l'audition de personnes s'exerce sans condition de délai."	"Si elle ne parle pas ou ne comprend pas suffisamment la langue française, elle peut demander à être assistée d'un interprète de son choix à ses frais ou d'un interprète choisi par la Fédération Française des Echecs ou ses organes déconcentrés aux frais de ceux-ci.  
Le délai de dix jours mentionné au premier alinéa peut être réduit en cas d'urgence, de circonstances tenant au bon déroulement des compétitions sportives ou de circonstances exceptionnelles par décision du président de l'organe disc"	1	La question porte sur une procédure spécifique et le document décrit exactement cette procédure avec les étapes à suivre.
Est-ce qu'on peut sauter le CM pour passer directement FM, ou c'est obligé ?	"## 1.4.5. Titres des adversaires -voir Annexe pour les valeurs exactes :  
- a) Au moins 50% des adversaires devront avoir un titre (TH) comme en 0.3, CM et CMF exclus.
- b) Pour une norme de GM au moins 1/3 des adversaires, avec un minimum de 3, doivent être GM.
- c) Pour une norme de MI, au moins 1/3 des adversaires, avec un minimum de 3, doivent être MI ou GM.
- d) Pour une norme de GMF, au moins 1/3 des adversaires, avec un minimum de 3, doivent être GMF, MI ou GM.
- e) Pour une norme de MIF, au moins 1/3 des adversaires, avec un minimum de 3, doivent être MIF, GMF, MI ou GM.
- f) Les tournois toutes rondes en ""aller-retour"" requièrent un minimum de 6 joueurs et joueuses. Pour ces évé nements, le nombre d'adversaires avec les titres exigés par les articles 1.4.5b à 1.4.5e est divisé par deux -arrondi à l'entier supérieur ."	"## 1.4.5. Titres des adversaires -voir Annexe pour les valeurs exactes :  
- a) Au moins 50% des adversaires devront avoir un titre (TH) comme en 0.3, CM et CMF exclus.
- b) Pour une norme de GM au moins 1/3 des adversaires, avec un minimum de 3, doivent être GM.
- c) Pour une norme de MI, au moins 1/3 des adversaires, avec un minimum de 3, doivent être MI ou GM.
- d) Pour une norme de GMF, au moins 1/3 des adversaires, avec un minimum de 3, doivent être GMF, MI ou GM.
- e) Pour une norme de MIF, au moins 1/3 des adversaires, avec un minimum de 3, doivent être MIF, GMF, MI ou GM.
- f) Les tournois toutes rondes en ""aller-retour"" requièrent un minimum de 6 joueurs et joueuses. Pour ces évé nements, le nombre d'adversaires avec les titres exigés par les articles 1.4.5b à 1.4.5e est divisé par deux -arrondi à l'entier supérieur ."	1	Le contexte contient une définition ou explication qui répond directement à la question de compréhension posée.
Qu'est-ce que le contrat de délégation FFE ?	"## Article 15 Irrégularités  
- 15.1. Chaque joueur et chaque joueuse peut demander l'assistance d'un arbitre. Si un joueur ou une joueuse appelle l'arbitre pour demander son assistance, l'arbitre détermine si cette personne avait une raison valable de le faire. Si elle n'a pas de raison valable, elle peut être pénalisée en accord avec l'Article 10.9.
- 15.2. Si une partie a débuté avec des couleurs inversées et que les deux adversaires ont joué moins de dix coups, alors la partie est interrompue et une nouvelle partie est jouée avec les couleurs correctes. Après dix coups ou plus, la partie doit continuer.
- 15.3. Si une partie n'est pas déclarée automatiquement nulle alors qu'une des situations décrites dans l'article 5.4 (situations de nulles automatiques) est survenue, l'arbitre doit déclarer la partie nulle.
- 15.4. Si une plateforme de jeu déclare automatiquement une partie nulle en contradiction avec l'article 4.5 (existence de possibilités de mat), l'arbitre a autorité pour modifier le résultat automatique.
- 15.5. Si pendant une partie, il est constaté que le réglage d'une ou des deux pendules est incorrect, l'arbitre d oit ajuster immédiatement les pendules. L'arbitre d oit réaliser le réglage correct et ajuster les temps, si nécessaire. L'arbitre doit faire preuve du plus grand discernement pour déterminer le réglage des pendules.
- 15.6. S'il est nécessaire d'interrompre la partie pour une quelconque raison, l'arbitre met la pendule en pause si c'est possible. Si ce n'est pas possible, l'arbitre p eut ajouter du temps supplémentaire à un ou aux deux adversaires."		0	Le contexte mentionne des termes similaires mais dans un contexte différent qui ne permet pas de répondre à la question posée.
Comment noter pour les personnes handicapées visuelles ?	"- 2) Un drapeau facilement perceptible au toucher. Il faut s'assurer que le drapeau n'empêche pas le joueur de sentir l'aiguille des minutes durant les 5 dernières minutes d'une heure.  
- D.2.7. La personne handicapée visuelle doit noter ses coups en Braille, en écriture courante ou les enregistrer sur un appareil prévu à cet effet.
- D.2.8. Un lapsus durant l'annonce d'un coup doit être immédiatement corrigé et cela avant de déclencher la pendule de l'adversaire."	"- 2) Un drapeau facilement perceptible au toucher. Il faut s'assurer que le drapeau n'empêche pas le joueur de sentir l'aiguille des minutes durant les 5 dernières minutes d'une heure.  
- D.2.7. La personne handicapée visuelle doit noter ses coups en Braille, en écriture courante ou les enregistrer sur un appareil prévu à cet effet.
- D.2.8. Un lapsus durant l'annonce d'un coup doit être immédiatement corrigé et cela avant de déclencher la pendule de l'adversaire."	1	Le document traite du même sujet que la question et fournit les informations nécessaires pour y répondre complètement.
Comment fonctionne le Championnat de France des Clubs ?	"## Art. 6 - Charte éthique et Comité d'éthique  
La FFE a établi une charte d'éthique et de déontologie (annexe 16) conforme aux principes définis par la charte prévue à l'article L. 141-3.  
La fédération a institué en son sein un comité d'éthique, dont elle garantit l'indépendance et qui est habilité à saisir les organes disciplinaires. Ce comité veille l'application de la charte d'éthique et de déontologie et au respect des règles d'éthique, de déontologie, de prévention et de traitement des conflits d'intérêts.  
Ce comité de déontologie se réunit 2 fois par an. Il produit un rapport d'activité transmis au ministre chargé des sports, dans lequel figure des propositions de nature à remédier aux non-respect de la charte éthique adoptée par la Fédération."		0	Bien que le document soit du même domaine (échecs), il concerne un aspect réglementaire différent qui ne répond pas à la question.
Comment se déroule l'instruction disciplinaire FFE ?	"## 1. OBJECTIF  
Adossé à une comptabilité respectant le plan comptable, ce règlement financier a pour objectif essentiel d'assurer une totale transparence de la gestion financière de la Fédération.  
Dans ce but, il définit une organisation comptable et financière offrant un dispositif de suivi, d'alerte et de contrôle :  
-  permettant d'assurer une bonne administration de la fédération,
-  protégeant sa santé financière,
-  permettant la conduite et la réalisation des actions et projets définis."		0	Le document est une table de données ou annexe technique qui ne contient pas d'explication pour la question.
