Query	Document	Answer
Combien d'équipes par club en Coupe de France ?	"## 1.1. Structure  
La Coupe de France est organisée chaque saison. Elle est ouverte à tous les clubs affiliés à la Fédération Française des Échecs. Chaque club ne peut engager qu'une équipe."	"## 1.1. Structure  
La Coupe de France est organisée chaque saison. Elle est ouverte à tous les clubs affiliés à la Fédération Française des Échecs. Chaque club ne peut engager qu'une équipe."
Qu'est-ce que le contrat de délégation FFE ?	"## Préambule  
La délégation est, après l'agrément, l'étape supérieure dans le degré de reconnaissance des fédérations sportives par l'État. Seules peuvent être « délégataires » les fédérations qui ont, au préalable, reçu l'agrément délivré par le ministre chargé des sports prévu à l'article L. 131-8 du code du sport.  
Une seule fédération est susceptible de recevoir la délégation pour une même discipline sportive.  
Les fédérations délégataires disposent de prérogatives de puissance publique et se voient confier une mission de service public. A ce titre, elles disposent d'un monopole légal dans les domaines explicitement prévu par la loi ou le règlement.  
Dans ces domaines l'Etat, en sa qualité de déléguant, et les fédérations, en leur qualité de délégataire, contractualisent les conditions dans lesquelles ces prérogatives et ces missions inhérentes à la délégation sont exercées.  
Cette capacité à contractualiser a été instaurée par la loi n° 2021-1109 du 24 août 2021 confortant le respect des principes de la République, notamment son article 63. Cette loi modifie le code du sport dont il résulte une nouvelle rédaction de l'article L. 131-14 et un nouvel article L. 131-15-2.  
Outre le principe d'un contrat de délégation, le cadre préalable à sa conclusion y est également défini.  
Ainsi, le ministre chargé des sports définit les orientations et fixe le cadre dans lequel les stratégies nationales des fédérations sont établies. Ces stratégies nationales visent notamment à promouvoir les principes du contrat d'engagement républicain. Ce contrat figure en annexe du décret n°2021-1947 du 31 décembre 2021"	"## Préambule  
La délégation est, après l'agrément, l'étape supérieure dans le degré de reconnaissance des fédérations sportives par l'État. Seules peuvent être « délégataires » les fédérations qui ont, au préalable, reçu l'agrément délivré par le ministre chargé des sports prévu à l'article L. 131-8 du code du sport.  
Une seule fédération est susceptible de recevoir la délégation pour une même discipline sportive.  
Les fédérations délégataires disposent de prérogatives de puissance publique et se voient confier une mission de service public. A ce titre, elles disposent d'un monopole légal dans les domaines explicitement prévu par la loi ou le règlement.  
Dans ces domaines l'Etat, en sa qualité de déléguant, et les fédérations, en leur qualité de délégataire, contractualisent les conditions dans lesquelles ces prérogatives et ces missions inhérentes à la délégation sont exercées.  
Cette capacité à contractualiser a été instaurée par la loi n° 2021-1109 du 24 août 2021 confortant le respect des principes de la République, notamment son article 63. Cette loi modifie le code du sport dont il résulte une nouvelle rédaction de l'article L. 131-14 et un nouvel article L. 131-15-2.  
Outre le principe d'un contrat de délégation, le cadre préalable à sa conclusion y est également défini.  
Ainsi, le ministre chargé des sports définit les orientations et fixe le cadre dans lequel les stratégies nationales des fédérations sont établies. Ces stratégies nationales visent notamment à promouvoir les principes du contrat d'engagement républicain. Ce contrat figure en annexe du décret n°2021-1947 du 31 décembre 2021"
Quelle est la différence de points Elo gagnés ou perdus pour une seule partie gagnée contre un adversaire avec exactement le même classement Elo ?	"## 8.3. Détermination du changement de classement pour les joueurs et joueuses classés (Voir Exemple)  
- 8.3.1. Pour chaque partie jouée contre une personne classée, on détermine la différence de classement avec elle, D.  
Pour les joueurs et joueuses ayant un classement en dessous de 2650, une différence de classement de plus de 400 points est comptabilisée pour le calcul du classement comme s'il s'agissait d'une différence de 400 points. Pour les joueurs et joueuses classés 2650 et plus, la différence de classement sera utilisée normalement.  
- 8.3.2. (a) Utiliser le tableau 8.1.2 pour déterminer la probabilité de score PD pour chaque partie.
- (b) ∆R = score PD. Pour chaque partie, le score est 1, 0.5 ou 0.
- ( c) Σ∆R = la somme des ∆R pour un tournoi ou une période de classement.
- (d) Σ∆R x K = la variation de Classement pour un tournoi ou une période de classement."	Table conversion Elo variante: p, dp, probabilite (18 tranches).
Quelles sont les règles des interclubs départementaux ?	"## 1.1 Structure  
Le championnat par équipes de Nationale VI est organisé chaque saison sous la responsabilité du C.D.J.E 13  
Les championnats par équipes organisés chaque saison sous la responsabilité des Comités Départementaux, selon des procédures approuvées par la Ligue, est :  
La Nationale VI (ou Départementale), composé d'un ou plusieurs groupes d'équipes de 4 joueurs. Au moins une équipe par département a le droit d'accéder à la Nationale V (ou Régionale) à l'issue de chaque saison. Le nombre d'équipes promues par département est établi en fonction du nombre de licenciés de chaque département."	"## 1.1 Structure  
Le championnat par équipes de Nationale VI est organisé chaque saison sous la responsabilité du C.D.J.E 13  
Les championnats par équipes organisés chaque saison sous la responsabilité des Comités Départementaux, selon des procédures approuvées par la Ligue, est :  
La Nationale VI (ou Départementale), composé d'un ou plusieurs groupes d'équipes de 4 joueurs. Au moins une équipe par département a le droit d'accéder à la Nationale V (ou Régionale) à l'issue de chaque saison. Le nombre d'équipes promues par département est établi en fonction du nombre de licenciés de chaque département."
Comment fonctionne la promotion du pion ?	"- 3.7.3.4. Le choix du joueur ou de la joueuse n ' est pas restreint aux pièces capturées précédemment.
- 3.7.3.5. Ce remplacement d ' un pion par une autre pièce est appelé promotion. La nouvelle pièce issue de cette promotion est immédiatement active.  
Dans le cas d'une promotion, si le joueur ou la joueuse ne trouve pas la pièce nécessaire, il/elle a le droit d e mettre immédiatement la pendule en pause et d'appeler l'arbitre pour qu'on lui apporte la pièce qu'il /elle désire. L'arbitre doit fournir la pièce demandée et redémarrer la pendule. Le joueur ou la joueuse continue alors de réfléchir à son coup. Il/Elle n'a pas l'obligation de faire la promotion en utilisant la pièce demandée.  
- 3.8. Le roi peut se déplacer de deux façons différentes :
- 3.8.1. En se déplaçant sur une case adjacente
- 3.8.2. En « roquant ». C'est un mouvement combiné du roi et de l' une des tours de même couleur le long de la première rangée du joueur ou de la joueuse. Le roque compte pour un seul coup, il est joué de la façon suivante : le roi est déplacé de deux cases depuis sa case initiale vers une tour située sur sa case initiale, puis cette tour est déplacée sur la case que le roi vient de traverser.
- 3.8.2.1. Le droit de roquer est définitivement perdu :
- 1) Si le roi s ' est déjà déplacé, ou
- 2) Avec une tour qui s ' est déjà déplacée.
- 3.8.2.2. Le roque est temporairement interdit :"	"- 3.7.3.4. Le choix du joueur ou de la joueuse n ' est pas restreint aux pièces capturées précédemment.
- 3.7.3.5. Ce remplacement d ' un pion par une autre pièce est appelé promotion. La nouvelle pièce issue de cette promotion est immédiatement active.  
Dans le cas d'une promotion, si le joueur ou la joueuse ne trouve pas la pièce nécessaire, il/elle a le droit d e mettre immédiatement la pendule en pause et d'appeler l'arbitre pour qu'on lui apporte la pièce qu'il /elle désire. L'arbitre doit fournir la pièce demandée et redémarrer la pendule. Le joueur ou la joueuse continue alors de réfléchir à son coup. Il/Elle n'a pas l'obligation de faire la promotion en utilisant la pièce demandée.  
- 3.8. Le roi peut se déplacer de deux façons différentes :
- 3.8.1. En se déplaçant sur une case adjacente
- 3.8.2. En « roquant ». C'est un mouvement combiné du roi et de l' une des tours de même couleur le long de la première rangée du joueur ou de la joueuse. Le roque compte pour un seul coup, il est joué de la façon suivante : le roi est déplacé de deux cases depuis sa case initiale vers une tour située sur sa case initiale, puis cette tour est déplacée sur la case que le roi vient de traverser.
- 3.8.2.1. Le droit de roquer est définitivement perdu :
- 1) Si le roi s ' est déjà déplacé, ou
- 2) Avec une tour qui s ' est déjà déplacée.
- 3.8.2.2. Le roque est temporairement interdit :"
Si je suis arbitre adjoint dans un petit tournoi régional, j'ai droit à combien d'euros par jour ?	"## D.3 Échanges dans des niveaux hétérogènes (S1 initial ⬄ Limbes initiaux)  
Un échange dans un niveau hétérogène (également appelé échange-flotteur) est un échange de deux groupes de taille égale de NAN (tous étant des flotteur(s) descendant(s) du niveau précédent) entre le S1 initial et les Limbes initiaux.  
Afin de classer tous les échanges-flotteurs possibles, on applique les règles de comparaison suivantes entre deux échanges-flotteurs par ordre de priorité décroissante :  
La priorité est donnée à l'échange qui produit un S1 ayant :  
- a. Le score différent le plus élevé parmi les joueurs et joueuses représentés par leur NAN (cela arrive automatiquement en se conformant au critère C6, qui dispose qu'il faut minimiser la D -SA) du niveau).  
Explication : on veut en priorité apparier les joueurs ayant le plus de points.  
- b. L a plus petite valeur lexicographique de ses NAN (classée(s) dans l'ordre croissant).  
Chaque fois qu'un classement a été réalisé, l'application de la règle D1, D.2 ou D3 correspondante viendra chercher l'élément suivant dans l'ordre de classement."	
Qui peut participer aux Championnats de France Jeunes ?	"## 1. Préambule  
- 1.1 . Les Championnats de France Jeunes sont ouverts aux jeunes joueuses et joueurs français licenciés ainsi que les jeunes joueuses et joueurs étrangers licenciés et scolarisés en France. Dans ce deuxième cas, les licences doivent être prises auprès de la FFE au plus tard le 30 novembre de la saison en cours.
- 1.2. Les joueuses et joueurs étrangers des catégories U18, U18F, U20 et U20F non scolarisés doivent résider en France depuis au moins deux ans et être licenciés auprès de la FFE également depuis au moins deux ans.
- 1.3. La notion de qualification sportive étant parfaitement décrite dans l'ensemble des règlements nationaux, les remplacements pour désistements ainsi que les dérogations doivent toujours ménager en premier lieu cet esprit sportif.
- 1.4. Les dates des qualifications départementales et zones interdépartementales ne doivent pas coïncider avec celles du Championnat de France des clubs et Championnat de France Interclubs jeunes, dès lors qu'au moins un club de département (ou de la ZID) est concerné.
- 1.5. Les Ligues souhaitant des dérogations sur un point du présent règlement doivent faire la demande à la Commission Technique Fédérale (CTF) avant les qualifications départementales. Sans l'accord de la CTF, les dérogations ne sont pas possibles. Toute Ligue contrevenant à cet article s'expose à des sanctions pouvant aller jusqu'à l'invalidation des qualifications concernées."	"## 1. Préambule  
- 1.1 . Les Championnats de France Jeunes sont ouverts aux jeunes joueuses et joueurs français licenciés ainsi que les jeunes joueuses et joueurs étrangers licenciés et scolarisés en France. Dans ce deuxième cas, les licences doivent être prises auprès de la FFE au plus tard le 30 novembre de la saison en cours.
- 1.2. Les joueuses et joueurs étrangers des catégories U18, U18F, U20 et U20F non scolarisés doivent résider en France depuis au moins deux ans et être licenciés auprès de la FFE également depuis au moins deux ans.
- 1.3. La notion de qualification sportive étant parfaitement décrite dans l'ensemble des règlements nationaux, les remplacements pour désistements ainsi que les dérogations doivent toujours ménager en premier lieu cet esprit sportif.
- 1.4. Les dates des qualifications départementales et zones interdépartementales ne doivent pas coïncider avec celles du Championnat de France des clubs et Championnat de France Interclubs jeunes, dès lors qu'au moins un club de département (ou de la ZID) est concerné.
- 1.5. Les Ligues souhaitant des dérogations sur un point du présent règlement doivent faire la demande à la Commission Technique Fédérale (CTF) avant les qualifications départementales. Sans l'accord de la CTF, les dérogations ne sont pas possibles. Toute Ligue contrevenant à cet article s'expose à des sanctions pouvant aller jusqu'à l'invalidation des qualifications concernées."
Quelles sont les catégories d'âge aux échecs jeunes ?	"## 2. Organisation générale  
Le Championnat de France Jeunes se joue en sept tournois mixtes ouverts aux joueurs et joueuses pour chaque catégorie d'âge de U8 à U20, et sept tournois féminins uniquement ouverts aux joueuses de U8F à U20F. Deux Opens mixtes sont organisés pour les joueuses et joueurs non-qualifiés pour les tournois cités.  
Les phases qualificatives ne concernent pas :  
- Les jeunes ayant acquis leur qualification directe pour les Championnats de France de la saison en cours en fonction de leur classement Elo ou de leurs résultats dans les championnats de la saison précédente (voir § Qualifiés d'office),
- Les jeunes des catégories U18 (cadets) et U18F (cadettes) ; U20 (juniors) et U20F (juniors Filles)."	"## 1. Préambule  
- 1.1 . Les Championnats de France Jeunes sont ouverts aux jeunes joueuses et joueurs français licenciés ainsi que les jeunes joueuses et joueurs étrangers licenciés et scolarisés en France. Dans ce deuxième cas, les licences doivent être prises auprès de la FFE au plus tard le 30 novembre de la saison en cours.
- 1.2. Les joueuses et joueurs étrangers des catégories U18, U18F, U20 et U20F non scolarisés doivent résider en France depuis au moins deux ans et être licenciés auprès de la FFE également depuis au moins deux ans.
- 1.3. La notion de qualification sportive étant parfaitement décrite dans l'ensemble des règlements nationaux, les remplacements pour désistements ainsi que les dérogations doivent toujours ménager en premier lieu cet esprit sportif.
- 1.4. Les dates des qualifications départementales et zones interdépartementales ne doivent pas coïncider avec celles du Championnat de France des clubs et Championnat de France Interclubs jeunes, dès lors qu'au moins un club de département (ou de la ZID) est concerné.
- 1.5. Les Ligues souhaitant des dérogations sur un point du présent règlement doivent faire la demande à la Commission Technique Fédérale (CTF) avant les qualifications départementales. Sans l'accord de la CTF, les dérogations ne sont pas possibles. Toute Ligue contrevenant à cet article s'expose à des sanctions pouvant aller jusqu'à l'invalidation des qualifications concernées."
Quels tournois au Championnat de France individuel ?	"## 1.2. Structure  
Le championnat est constitué de dix tournois :  
- Tournoi National
- Tournoi National Féminin
- Tournoi Accession ""Roger FERRY""
- Tournoi Vétérans
- Tournoi Seniors Plus
- Tournoi Open A
- Tournoi Open B
- Tournoi Open C
- Tournoi Open D
- Tournoi Open E"	"## 1.2. Structure  
Le championnat est constitué de dix tournois :  
- Tournoi National
- Tournoi National Féminin
- Tournoi Accession ""Roger FERRY""
- Tournoi Vétérans
- Tournoi Seniors Plus
- Tournoi Open A
- Tournoi Open B
- Tournoi Open C
- Tournoi Open D
- Tournoi Open E"
Comment noter une partie en notation algébrique ?	"## 1.5. Conditions pour l'obtention du titre, une fois les normes réalisées  
- 1.5.1. Les normes obtenues dans les tournois doivent représenter au moins 27 parties
- 1.5.2. Si une norme est valable pour plusieurs titres, alors elle peut être utilisée dans le cadre de la candidature pour chacun d'entre eux.
- 1.5.3. Le candidat doit avoir atteint à un moment ou un autre un classement comme suit :  
GM≥ 2500  
MI≥ 2400  
GMF≥ 2300  
- a) Un tel classement n'a pas besoin d'être publié.  
Il peut être obtenu au milieu d'une période de classement ou même au milieu d'un tournoi.  
Le joueur ou la joueuse peut alors ignorer les résultats ultérieurs pour les besoins de sa candidature au titre.  
Cependant la charge de prouver que ce classement a été atteint incombe à la fédération du candidat/de la candidate au titre. Les candidatures aux titres basées sur des classements non publiés ne seront acceptées par la FIDE qu'après accord de l'Administrateur du Classement et de la CH. Les classements au milieu d'une période ne peuvent être confirmés qu'une fois tous les tournois pour cette période reçus et pris en compte par la FIDE.  
- 1.5.4. Un résultat de titre sera valable s'il a été obtenu conformément à la Réglementation des Titres de la FIDE en vigueur au moment du tournoi où la norme a été obtenue.  
MIF≥ 2200  
Chapitre 6.3 :Titres de la FIDE"	
