Query	Document	Answer
How much time is added after each move in a rapid game?	"## Appendix A. Rapid chess
- A.1 A Rapid chess' game is one where either all the moves must be completed in a fixed time of more than 10 minutes but less than 60 minutes for each player; or the time allotted plus 60 times any increment is of more than 10 minutes but less than 60 minutes for each player.
Example 1: According to the Tournament Regulations of an event, the time control is 30 minutes for the whole game and 30 seconds increment for each move. That is: for 60 moves we would get 30'+ (30""x 60) = 30' +30' = 60'. Then such a game is considered to be standard chess.
As according to Article A1 ""A Rapid Chess"" is a game where all moves must be completed in more than 10 minutes and less than 60 minutes for each player.
Example 2: According to the Tournament Regulations of an event, the time control is 10 minutes for the whole game and 5 seconds increment for each move. That is: for 60 moves we would get 10'+ (5' x 60) = 10' +5' = 15'. So according to Article A.1 such a game is considered to be Rapid Chess.
When doing these calculations games using delays are treated in the same way.
- A.2 Players do not need to record the moves, but do not lose their rights to claims normally based on a scoresheet. The player can, at any time, ask the arbiter to provide him/her with a scoresheet, in order to write the moves."	"## Appendix A. Rapid chess
- A.1 A Rapid chess' game is one where either all the moves must be completed in a fixed time of more than 10 minutes but less than 60 minutes for each player; or the time allotted plus 60 times any increment is of more than 10 minutes but less than 60 minutes for each player.
Example 1: According to the Tournament Regulations of an event, the time control is 30 minutes for the whole game and 30 seconds increment for each move. That is: for 60 moves we would get 30'+ (30""x 60) = 30' +30' = 60'. Then such a game is considered to be standard chess.
As according to Article A1 ""A Rapid Chess"" is a game where all moves must be completed in more than 10 minutes and less than 60 minutes for each player.
Example 2: According to the Tournament Regulations of an event, the time control is 10 minutes for the whole game and 5 seconds increment for each move. That is: for 60 moves we would get 10'+ (5' x 60) = 10' +5' = 15'. So according to Article A.1 such a game is considered to be Rapid Chess.
When doing these calculations games using delays are treated in the same way.
- A.2 Players do not need to record the moves, but do not lose their rights to claims normally based on a scoresheet. The player can, at any time, ask the arbiter to provide him/her with a scoresheet, in order to write the moves."
What are the time controls for a FIDE rated rapid game?	"## Appendix A. Rapid chess
- A.1 A Rapid chess' game is one where either all the moves must be completed in a fixed time of more than 10 minutes but less than 60 minutes for each player; or the time allotted plus 60 times any increment is of more than 10 minutes but less than 60 minutes for each player.
Example 1: According to the Tournament Regulations of an event, the time control is 30 minutes for the whole game and 30 seconds increment for each move. That is: for 60 moves we would get 30'+ (30""x 60) = 30' +30' = 60'. Then such a game is considered to be standard chess.
As according to Article A1 ""A Rapid Chess"" is a game where all moves must be completed in more than 10 minutes and less than 60 minutes for each player.
Example 2: According to the Tournament Regulations of an event, the time control is 10 minutes for the whole game and 5 seconds increment for each move. That is: for 60 moves we would get 10'+ (5' x 60) = 10' +5' = 15'. So according to Article A.1 such a game is considered to be Rapid Chess.
When doing these calculations games using delays are treated in the same way.
- A.2 Players do not need to record the moves, but do not lose their rights to claims normally based on a scoresheet. The player can, at any time, ask the arbiter to provide him/her with a scoresheet, in order to write the moves."	"## Appendix A. Rapid chess
- A.1 A Rapid chess' game is one where either all the moves must be completed in a fixed time of more than 10 minutes but less than 60 minutes for each player; or the time allotted plus 60 times any increment is of more than 10 minutes but less than 60 minutes for each player.
Example 1: According to the Tournament Regulations of an event, the time control is 30 minutes for the whole game and 30 seconds increment for each move. That is: for 60 moves we would get 30'+ (30""x 60) = 30' +30' = 60'. Then such a game is considered to be standard chess.
As according to Article A1 ""A Rapid Chess"" is a game where all moves must be completed in more than 10 minutes and less than 60 minutes for each player.
Example 2: According to the Tournament Regulations of an event, the time control is 10 minutes for the whole game and 5 seconds increment for each move. That is: for 60 moves we would get 10'+ (5' x 60) = 10' +5' = 15'. So according to Article A.1 such a game is considered to be Rapid Chess.
When doing these calculations games using delays are treated in the same way.
- A.2 Players do not need to record the moves, but do not lose their rights to claims normally based on a scoresheet. The player can, at any time, ask the arbiter to provide him/her with a scoresheet, in order to write the moves."
What are the default time penalties an arbiter can give?	"- 12.7 If someone observes an irregularity, he/she may inform only the arbiter. Players in other games must not to speak about or otherwise interfere in a game. Spectators are not allowed to interfere in a game. The arbiter may expel offenders from the playing venue.
If a spectator sees a flag fall, or any other offence, they should tell the arbiter. They should not announce it.
- 12.8 Unless authorised by the arbiter, it is forbidden for anybody to use a mobile phone or any kind of communication device in the playing venue or any contiguous area designated by the arbiter.
In general, nobody is allowed to use their mobiles in the playing hall or adjoining area during the games.
- 12.9 Options available to the arbiter concerning penalties:
- 12.9.1 warning,
- 12.9.2 increasing the remaining time of the opponent,
- 12.9.3 reducing the remaining time of the offending player,
- 12.9.4 increasing the points scored in the game by the opponent to the maximum available for that game,
- 12.9.5 reducing the points scored in the game by the offending person,
- 12.9.6 declaring the game to be lost by the offending player (the arbiter shall also decide the opponent's score),
- 12.9.7 a fine announced in advance,
- 12.9.8 exclusion from one or more rounds,
- 12.9.9 expulsion from the competition."	"- 12.7 If someone observes an irregularity, he/she may inform only the arbiter. Players in other games must not to speak about or otherwise interfere in a game. Spectators are not allowed to interfere in a game. The arbiter may expel offenders from the playing venue.
If a spectator sees a flag fall, or any other offence, they should tell the arbiter. They should not announce it.
- 12.8 Unless authorised by the arbiter, it is forbidden for anybody to use a mobile phone or any kind of communication device in the playing venue or any contiguous area designated by the arbiter.
In general, nobody is allowed to use their mobiles in the playing hall or adjoining area during the games.
- 12.9 Options available to the arbiter concerning penalties:
- 12.9.1 warning,
- 12.9.2 increasing the remaining time of the opponent,
- 12.9.3 reducing the remaining time of the offending player,
- 12.9.4 increasing the points scored in the game by the opponent to the maximum available for that game,
- 12.9.5 reducing the points scored in the game by the offending person,
- 12.9.6 declaring the game to be lost by the offending player (the arbiter shall also decide the opponent's score),
- 12.9.7 a fine announced in advance,
- 12.9.8 exclusion from one or more rounds,
- 12.9.9 expulsion from the competition."
What special rules apply when a visually impaired player competes against a sighted opponent?	"## Appendix D. Rules for play with blind and visually disabled players
- D.1 The organiser, after consulting the arbiter, shall have the power to adapt the following rules according to local circumstances. In competitive chess between sighted and visually disabled (legally blind) players either player may demand the use of two boards, the sighted player using a normal board, the visually disabled player using one specially constructed. This board must meet the following requirements:
- D.1.1 measure at least 20 cm by 20 cm,
- D.1.2 have the black squares slightly raised,
- D.1.3 have a securing aperture in each square,
- D.1.4 The requirements for the pieces are:
- D.1.4.1 all are provided with a peg that fits into the securing aperture of the board,
- D.1.4.2 all are of Staunton design, the black pieces being specially marked.
- D.2 The following regulations shall govern play:
- D.2.1 The moves shall be announced clearly, repeated by the opponent and executed on his/her chessboard. When promoting a pawn, the player must announce which piece is chosen. To make the announcement as clear as possible, the use of the following names is suggested instead of the corresponding letters:
A - Anna B - Bella C - Cesar D - David E - Eva F - Felix G - Gustav H - Hector
Unless the arbiter decides otherwise, ranks from White to Black shall be given the German numbers
- 1 - eins
- 5 - fuenf
- 2 - zwei
- 6 - sechs
- 3 - drei
- 7 - Sieben
- 4 - vier"	"## Appendix D. Rules for play with blind and visually disabled players
- D.1 The organiser, after consulting the arbiter, shall have the power to adapt the following rules according to local circumstances. In competitive chess between sighted and visually disabled (legally blind) players either player may demand the use of two boards, the sighted player using a normal board, the visually disabled player using one specially constructed. This board must meet the following requirements:
- D.1.1 measure at least 20 cm by 20 cm,
- D.1.2 have the black squares slightly raised,
- D.1.3 have a securing aperture in each square,
- D.1.4 The requirements for the pieces are:
- D.1.4.1 all are provided with a peg that fits into the securing aperture of the board,
- D.1.4.2 all are of Staunton design, the black pieces being specially marked.
- D.2 The following regulations shall govern play:
- D.2.1 The moves shall be announced clearly, repeated by the opponent and executed on his/her chessboard. When promoting a pawn, the player must announce which piece is chosen. To make the announcement as clear as possible, the use of the following names is suggested instead of the corresponding letters:
A - Anna B - Bella C - Cesar D - David E - Eva F - Felix G - Gustav H - Hector
Unless the arbiter decides otherwise, ranks from White to Black shall be given the German numbers
- 1 - eins
- 5 - fuenf
- 2 - zwei
- 6 - sechs
- 3 - drei
- 7 - Sieben
- 4 - vier"
What happens if a player touches a piece but cannot make a legal move with it?	"## 4.4.4 promotes a pawn, the choice of the piece is finalised when the piece has touched the square of promotion.
When a player places an inverted (upside - down) rook on the promotion square and continues the game, the piece is considered as a rook, even if he/she names it as a 'queen' or any other piece. If he/she moves the upside-down rook diagonally, it becomes an illegal move. On his/her own move the opponent may turn the rook the right way up. However, to avoid conflict, it is advisable that an arbiter is requested to do this.
- 4.5 If none of the pieces touched in accordance with Article 4.3 or Article 4.4 can be moved or captured, the player may make any legal move.
- 4.6 The act of promotion may be performed in various ways:
- 4.6.1 the pawn does not have to be placed on the square of arrival.
- 4.6.2 removing the pawn and putting the new piece on the square of promotion may occur in any order.
- 4.6.3 If an opponent's piece stands on the square of promotion, it must be captured.
- 4.7 When, as a legal move or part of a legal move, a piece has been released on a square, it cannot be moved to another square on this move. The move is considered to have been made in the case of:
<!-- formula-not-decoded -->
- 4.7.1 A capture, when the captured piece has been removed from the chessboard and the player, having placed his/her own piece on its new square, has released this capturing piece from his/her hand."	"## 4.4.4 promotes a pawn, the choice of the piece is finalised when the piece has touched the square of promotion.
When a player places an inverted (upside - down) rook on the promotion square and continues the game, the piece is considered as a rook, even if he/she names it as a 'queen' or any other piece. If he/she moves the upside-down rook diagonally, it becomes an illegal move. On his/her own move the opponent may turn the rook the right way up. However, to avoid conflict, it is advisable that an arbiter is requested to do this.
- 4.5 If none of the pieces touched in accordance with Article 4.3 or Article 4.4 can be moved or captured, the player may make any legal move.
- 4.6 The act of promotion may be performed in various ways:
- 4.6.1 the pawn does not have to be placed on the square of arrival.
- 4.6.2 removing the pawn and putting the new piece on the square of promotion may occur in any order.
- 4.6.3 If an opponent's piece stands on the square of promotion, it must be captured.
- 4.7 When, as a legal move or part of a legal move, a piece has been released on a square, it cannot be moved to another square on this move. The move is considered to have been made in the case of:
<!-- formula-not-decoded -->
- 4.7.1 A capture, when the captured piece has been removed from the chessboard and the player, having placed his/her own piece on its new square, has released this capturing piece from his/her hand."
When does the 75-move rule apply for automatic draw?	"In 9.6.1 case, the five times need not be consecutive.
In both 9.6.1 and 9.6.2 cases the arbiter must intervene and stop the game, declaring it as a draw.
If a draw under either of the above conditions is not noticed during the game a player may appeal using the normal appeals procedure."	"In 9.6.1 case, the five times need not be consecutive.
In both 9.6.1 and 9.6.2 cases the arbiter must intervene and stop the game, declaring it as a draw.
If a draw under either of the above conditions is not noticed during the game a player may appeal using the normal appeals procedure."
What is the initial position of the pieces on the chessboard?	"## Article 2: The Initial Position of the Pieces on the Chessboard
- 2.1 The chessboard is composed of an 8 x 8 grid of 64 equal squares alternately light (the 'white' squares) and dark (the 'black' squares).
The chessboard is placed between the players in such a way that the near corner square to the right of the player is white.
- 2.2 At the beginning of the game White has 16 light-coloured pieces (the 'white' pieces); Black has 16 dark-coloured pieces (the 'black' pieces).
These pieces are as follows:
| A white king | usually indicated by the symbol |
|-------------------|-----------------------------------|
| A white queen | usually indicated by the symbol |
| Two white rooks | usually indicated by the symbol |
| Two white bishops | usually indicated by the symbol |
| Two white knights | usually indicated by the symbol |
| Eight white pawns | usually indicated by the symbol |
| A black king | usually indicated by the symbol |
| A black queen | usually indicated by the symbol |
| Two black rooks | usually indicated by the symbol |
| Two black bishops | usually indicated by the symbol |
| Two black knights | usually indicated by the symbol |
| Eight black pawns | usually indicated by the symbol |"	"## Article 2: The Initial Position of the Pieces on the Chessboard
- 2.1 The chessboard is composed of an 8 x 8 grid of 64 equal squares alternately light (the 'white' squares) and dark (the 'black' squares).
The chessboard is placed between the players in such a way that the near corner square to the right of the player is white.
- 2.2 At the beginning of the game White has 16 light-coloured pieces (the 'white' pieces); Black has 16 dark-coloured pieces (the 'black' pieces).
These pieces are as follows:
| A white king | usually indicated by the symbol |
|-------------------|-----------------------------------|
| A white queen | usually indicated by the symbol |
| Two white rooks | usually indicated by the symbol |
| Two white bishops | usually indicated by the symbol |
| Two white knights | usually indicated by the symbol |
| Eight white pawns | usually indicated by the symbol |
| A black king | usually indicated by the symbol |
| A black queen | usually indicated by the symbol |
| Two black rooks | usually indicated by the symbol |
| Two black bishops | usually indicated by the symbol |
| Two black knights | usually indicated by the symbol |
| Eight black pawns | usually indicated by the symbol |"
Under what circumstances is pressing the chess clock before making a move permitted?	"If a player makes a move with one hand and presses the clock with the other, it is not considered as an illegal move, but it is penalized according to article 12.9.
- 6.2.4 The players must handle the chessclock properly. It is forbidden to press it forcibly, to pick it up, to press the clock before moving or to knock it over. Improper clock handling shall be penalised in accordance with Article 12.9.
Where a player presses the clock without making a move, as mentioned in article 6.2.4, it is considered as an illegal move and it is penalized according to article 7.5.3.
- 6.2.5 Only the player whose clock is running is allowed to adjust the pieces.
- 6.2.6 If a player is unable to use the clock, an assistant, who must be acceptable to the arbiter, may be provided by the player to perform this operation. His/Her clock shall be adjusted by the arbiter in an equitable way. This adjustment of the clock shall not apply to the clock of a player with a disability.
It is clear that the player himself has to provide an assistant. He/She has to introduce this assistant to the arbiter, in advance and not just before the start of the round. It is usual that 10 minutes are deducted from the time of the player who needs an assistant. No deduction should be made in the case of a disabled player.
- 6.3 Allotted time:"	"If a player makes a move with one hand and presses the clock with the other, it is not considered as an illegal move, but it is penalized according to article 12.9.
- 6.2.4 The players must handle the chessclock properly. It is forbidden to press it forcibly, to pick it up, to press the clock before moving or to knock it over. Improper clock handling shall be penalised in accordance with Article 12.9.
Where a player presses the clock without making a move, as mentioned in article 6.2.4, it is considered as an illegal move and it is penalized according to article 7.5.3.
- 6.2.5 Only the player whose clock is running is allowed to adjust the pieces.
- 6.2.6 If a player is unable to use the clock, an assistant, who must be acceptable to the arbiter, may be provided by the player to perform this operation. His/Her clock shall be adjusted by the arbiter in an equitable way. This adjustment of the clock shall not apply to the clock of a player with a disability.
It is clear that the player himself has to provide an assistant. He/She has to introduce this assistant to the arbiter, in advance and not just before the start of the round. It is usual that 10 minutes are deducted from the time of the player who needs an assistant. No deduction should be made in the case of a disabled player.
- 6.3 Allotted time:"
When is a move considered completed according to FIDE Laws?	"## 4.4.4 promotes a pawn, the choice of the piece is finalised when the piece has touched the square of promotion.
When a player places an inverted (upside - down) rook on the promotion square and continues the game, the piece is considered as a rook, even if he/she names it as a 'queen' or any other piece. If he/she moves the upside-down rook diagonally, it becomes an illegal move. On his/her own move the opponent may turn the rook the right way up. However, to avoid conflict, it is advisable that an arbiter is requested to do this.
- 4.5 If none of the pieces touched in accordance with Article 4.3 or Article 4.4 can be moved or captured, the player may make any legal move.
- 4.6 The act of promotion may be performed in various ways:
- 4.6.1 the pawn does not have to be placed on the square of arrival.
- 4.6.2 removing the pawn and putting the new piece on the square of promotion may occur in any order.
- 4.6.3 If an opponent's piece stands on the square of promotion, it must be captured.
- 4.7 When, as a legal move or part of a legal move, a piece has been released on a square, it cannot be moved to another square on this move. The move is considered to have been made in the case of:
<!-- formula-not-decoded -->
- 4.7.1 A capture, when the captured piece has been removed from the chessboard and the player, having placed his/her own piece on its new square, has released this capturing piece from his/her hand."	"## 4.4.4 promotes a pawn, the choice of the piece is finalised when the piece has touched the square of promotion.
When a player places an inverted (upside - down) rook on the promotion square and continues the game, the piece is considered as a rook, even if he/she names it as a 'queen' or any other piece. If he/she moves the upside-down rook diagonally, it becomes an illegal move. On his/her own move the opponent may turn the rook the right way up. However, to avoid conflict, it is advisable that an arbiter is requested to do this.
- 4.5 If none of the pieces touched in accordance with Article 4.3 or Article 4.4 can be moved or captured, the player may make any legal move.
- 4.6 The act of promotion may be performed in various ways:
- 4.6.1 the pawn does not have to be placed on the square of arrival.
- 4.6.2 removing the pawn and putting the new piece on the square of promotion may occur in any order.
- 4.6.3 If an opponent's piece stands on the square of promotion, it must be captured.
- 4.7 When, as a legal move or part of a legal move, a piece has been released on a square, it cannot be moved to another square on this move. The move is considered to have been made in the case of:
<!-- formula-not-decoded -->
- 4.7.1 A capture, when the captured piece has been removed from the chessboard and the player, having placed his/her own piece on its new square, has released this capturing piece from his/her hand."
How should the chess clock be handled according to Article 6?	"- [ ] ☐ TM
Exception if any***:
2. Event:
FRS event code(s)*:
System**:
- [ ] ☐ SS
- [ ] ☐ RR
- [ ] ☐ DR
- [ ] ☐ KO
- [ ] ☐ Other
- [ ] ☐ TM
Exception if any***:
3. Event:
FRS event code(s)*:
System**:
- [ ] ☐ SS
- [ ] ☐ RR
- [ ] ☐ DR
- [ ] ☐ KO
- [ ] ☐ Other
- [ ] ☐ TM
Exception if any***:
In his (her) activity as an Arbiter s/he has shown at all times absolute objectivity.
This application must be submitted not later than one (1) year after the date of the latest event listed. The undersigned encloses for each competition a FIDE Arbiter Norm Report Form (FA1) signed in accordance with the published FIDE Regulations for the Titles of Arbiters.
Name of Federation official
Date
Signature
PRIVACY NOTICE: this form contains personal data, please check FIDE Privacy policy at www.fide.com/privacy"
